Brand,Year,Configuration,Strings,Made in,Type,Body Shape,Body Material,Neck Joint,Neck Material,Neck Profile,Scale Size,Frets,Fretboard Material,Number of Frets,Fretboard Radius,Stainless Steel Frets,Nut,Nut Width,Switch,Knobs,Volume Controls,Tone Controls,Top Pickup Brand,Pickups Power,Locking Tuners,Bridge Type,Tremolo,Price
12,13,13,1,3,2,15,1,0,2,1,6,0,6,2,4,1,1,12,1,1,1,1,1,6,1,9,1,1711.82
12,13,13,1,3,2,15,2,0,2,1,6,0,6,2,4,1,1,12,1,1,1,1,1,6,1,5,0,1795.4779999999998
18,9,1,1,5,2,14,2,2,2,1,6,7,1,3,5,1,0,12,1,1,2,1,1,6,1,5,0,1188.105
18,13,1,1,5,2,14,6,2,1,1,6,7,1,3,5,1,0,12,1,1,2,1,1,6,1,5,0,953.415
18,11,1,1,5,2,14,2,2,2,1,11,7,1,3,5,1,0,12,1,1,2,1,1,6,1,5,0,1090.486666666667
18,10,1,2,5,2,14,2,1,2,1,12,7,1,3,14,1,7,18,1,1,1,1,1,1,1,5,0,1422.69
18,14,1,3,5,2,14,2,1,2,1,12,7,1,3,14,1,7,22,1,1,1,1,1,1,1,5,0,1638.45
13,14,7,1,5,2,16,1,1,2,2,6,0,1,3,5,0,11,11,1,1,1,1,1,6,0,6,1,1667.0775
18,12,1,1,5,2,2,2,2,2,1,6,7,1,3,5,1,0,12,1,1,1,1,1,6,1,5,0,1212.218
18,14,1,1,5,2,2,2,2,2,1,6,7,1,3,5,1,0,12,1,1,1,1,1,6,1,5,0,1253.4875000000002
20,12,1,1,2,2,2,1,2,2,1,6,7,1,3,7,1,11,13,1,2,2,1,1,6,1,6,1,937.38
4,6,1,1,3,2,7,6,2,1,8,4,7,1,2,4,0,1,12,1,1,2,1,1,6,1,4,0,2164.428
12,11,7,1,2,2,14,10,0,2,1,6,0,4,3,4,1,9,12,1,1,1,1,1,6,1,9,1,1304.4375
18,7,1,1,5,2,14,6,2,2,1,6,7,1,3,5,0,11,2,1,1,1,1,1,3,0,6,1,1273.02
4,6,1,2,3,2,14,6,2,2,8,6,7,1,3,4,0,11,18,1,1,1,1,1,1,1,6,1,2113.638
4,6,1,1,3,2,14,1,1,2,8,6,7,1,3,4,0,1,12,1,1,1,1,1,6,1,5,0,1774.386
18,12,1,1,5,2,14,6,1,2,1,6,7,6,3,5,1,5,12,1,1,1,0,1,1,1,5,0,1241.398
9,11,1,1,6,2,7,6,2,1,0,4,3,1,2,2,0,9,13,1,0,2,2,1,6,1,5,0,2512.8275
5,14,1,1,2,2,14,6,1,2,8,11,7,1,3,5,1,14,12,1,1,1,1,1,1,1,5,0,1272.7666666666669
5,13,0,1,2,2,16,6,1,1,8,4,7,1,3,7,1,11,12,0,0,1,0,1,0,0,6,1,1409.7779999999998
18,8,1,1,5,2,14,2,2,2,1,6,7,1,3,5,0,11,2,1,1,1,1,1,3,0,6,1,1575.3575
13,12,1,1,2,2,14,2,0,2,2,6,0,1,3,5,0,0,11,3,1,1,1,1,1,1,5,0,966.6425
13,12,1,2,2,2,14,3,0,2,2,8,0,1,3,5,0,0,14,3,1,1,1,1,1,1,4,0,1224.99
13,12,1,1,2,2,14,3,0,2,2,9,0,1,3,5,0,0,11,1,1,1,1,1,1,1,5,0,1388.96
13,13,1,2,2,2,14,3,0,2,2,12,0,1,3,5,0,0,16,1,1,1,1,1,1,1,5,0,1457.606
18,12,1,1,5,2,15,2,2,2,1,6,7,1,3,5,1,0,12,1,1,1,1,1,6,1,5,0,988.7533333333334
18,9,1,1,5,2,16,6,2,2,1,6,7,1,3,5,1,11,2,1,1,1,1,1,1,0,6,1,1349.0
